94, 3233
93, 7054
92, 827
93, 4448
91, 2359
92, 266
93, 4505
94, 492
91, 2913
92, 576
92, 4301
91, 5165
93, 596
90, 5643
94, 2063
92, 5339
94, 2215
93, 1914
90, 4052
91, 3625
92, 4881
94, 3480
93, 4901
90, 5110
91, 5204
94, 1034
92, 2078
90, 5500
93, 187
94, 1154
91, 5782
92, 2842
93, 3435
90, 5045
92, 5427
94, 1919
94, 3208
91, 1058
93, 6400
90, 2230
92, 750
91, 7306
94, 7210
93, 3885
90, 693
92, 3992
91, 1310
94, 590
93, 7705
90, 4398
92, 5871
91, 530
91, 3233
91, 6125
94, 7071
90, 6865
93, 5640
93, 2322
92, 4139
90, 1264
94, 7238
91, 5854
92, 76
93, 7567
90, 5183
91, 7004
92, 6829
94, 2744
93, 3646
90, 8190
91, 8024
92, 2601
94, 1673
93, 4893
91, 5887
90, 4910
91, 7666
94, 2258
92, 3127
93, 2784
91, 7821
90, 1510
93, 5989
94, 4713
92, 3118
91, 6994
90, 2237
92, 2269
93, 1217
94, 4864
90, 5497
90, 5664
91, 1519
93, 161
92, 904
94, 4504
94, 2286
92, 5546
90, 6787
91, 3758
93, 3515
94, 5533
92, 7100
91, 6396
90, 4199
93, 1022
94, 1946
92, 4057
90, 6148
91, 1234
93, 6235
94, 5390
92, 2022
90, 316
91, 3250
93, 8127
90, 8031
90, 2780
94, 3079
92, 2414
93, 3193
91, 5370
94, 2026
90, 2885
93, 4045
91, 3281
90, 1431
92, 4197
92, 5695
94, 4439
93, 6907
91, 2236
91, 4664
90, 1239
90, 7745
94, 1557
92, 675
94, 1442
93, 7478
90, 1820
91, 1543
92, 6335
94, 5865
94, 126
93, 5230
90, 4353
91, 6959
92, 2888
90, 2803
93, 7513
94, 5951
91, 7882
92, 6012
90, 1255
94, 907
94, 619
91, 3902
93, 1631
92, 7162
90, 1804
94, 8015
93, 4092
91, 1680
92, 3154
90, 6855
94, 3122
94, 4099
93, 3769
91, 4855
92, 6588
90, 6365
94, 857
91, 7527
93, 6136
90, 7304
90, 3709
92, 3271
94, 4276
91, 6885
93, 4689
92, 301
90, 403
94, 6019
91, 2445
93, 5683
92, 3277
90, 7998
94, 4065
91, 393
92, 5349
93, 2845
93, 4876
90, 8107
92, 3144
94, 3294
91, 5999
93, 926
94, 6609
91, 3755
91, 923
91, 1040
93, 1053
92, 512
92, 6100
94, 2945
90, 7268
93, 570
93, 439
90, 1070
91, 1689
92, 7136
94, 2341
90, 5098
91, 6777
93, 6694
92, 6383
94, 1161
91, 8044
90, 7266
90, 5980
93, 2892
93, 8007
92, 2047
94, 4618
92, 7212
92, 5020
94, 4599
91, 1521
90, 6608
90, 1312
93, 2148
92, 4648
90, 3286
90, 4080
93, 7785
94, 5875
91, 4472
93, 2599
94, 1290
92, 2147
92, 8139
90, 8099
91, 7518
91, 1150
93, 8137
93, 810
94, 911
90, 7485
91, 3274
92, 6917
